,,,,,,,,,,,,,
,PRODUTO,,,,METRO² / PEÇA,V A L O R,,PRODUTO,,,,METRO² / PEÇA,V A L O R
,,,,,,,,,,,,,
,PAINEL DIVISORIA,,,,CADA,"R$ 125,15",,GUIA ALTA AÇO 3.000,,,,CADA ,"R$ 12,96"
,PORTA DIVISORIA,,,,CADA ,"R$ 121,91",,GUIA BAIXA AÇO 2.150,,,,CADA ,"R$ 10,45"
,BATENTE 840,,,,CADA,"R$ 4,85",,GUIA BAIXO AÇO 3.000,,,,CADA ,"R$ 11,54"
,BATENTE 2.143,,,,CADA,"R$ 11,26",,,,,,,
,BAGUETE AÇO 2.500,,,,CADA,"R$ 4,97",,,,,,,
,APOIO BAGUETE 2.500,,,,CADA,"R$ 10,13",,,,,,,
,TRAVESSA AÇO 1.185,,,,CADA,"R$ 6,40",,,,,,,
,TRAVESSA AÇO 2.150,,,,CADA,"R$ 11,33",,,,,,,
,TRAVESSA AÇO 2.500,,,,CADA,"R$ 13,04",,,,,,,
,TRAVESSA AÇO 3.000,,,,CADA,"R$ 16,20",,,,,,,
,TRAVESSA AÇO 3.600,,,,CADA,"R$ 17,66",,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,CHAPAS DE ALUMINIO,,,,,,,RODAPES SANTA LUZIA,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,PRODUTO,,,,METRO² / PEÇA,V A L O R,,PRODUTO,,,,METRO² / PEÇA,V A L O R
,,,,,,,,,,,,,
,BASE DE FIXAÇÃO ALUMINIO S1800,,,,METRO,"R$ 15,92",,,,,,,
,CHAPA ALUMINIO A100 ,,,,METRO,"R$ 21,44",,RODAMEIO 30MM,,,,PÇ,"R$ 34,74"
,CANTONEIRA 16X16 ,,,,METRO,"R$ 21,86",,RODAPE / GUARNIÇÃO 70MM LEV,,,,PÇ,"R$ 46,32"
,AMERICANO SEM GARRA,,,,METRO,"R$ 26,51",,RODAPE / GUARNIÇAO 100MM LEV,,,,PÇ,"R$ 71,52"
,CHAPA ALUMINIO B200,,,,METRO,"R$ 27,40",,RODAPE / GUARNIÇAO 150MM LEV,,,,PÇ ,"R$ 108,65"
,,,,,,,,,,,,,
,"CANTONEIRA 3X0,7",,,,METRO,"R$ 30,52",,RODAPE / GUARNIÇAO 150MM ,,,,PÇ,"R$ 148,26"
,REDUTOR ALUMINIO LAMINADO,,,,METRO,"R$ 31,48",,RODAPE / GUARNIÇÃO 100MM,,,,PÇ,"R$ 97,61"
,AMERICANO COM GARRA,,,,METRO,"R$ 32,63",,RODAPE / GUARNIÇAO 70M,,,,PÇ,"R$70,64"
,FRONTAL DE ESCADA VINILICO,,,,METRO,"R$ 33,14",,,,,,,
,REDUTOR ALUMINIO VINILICO 2MM,,,,METRO,"R$ 36,33",,,,,,,
,"REDUTOR ALUMINIO VINILICO 3,2MM",,,,METRO,"R$ 42,66",,,,,,,
,CANTONEIRA ALUMINIO 5X3 ,,,,METRO,"R$ 53,51",,,,,,,
,CANTONEIRA ALUMINIO POLIDO 20X20,,,,METRO,"R$ 159,36",,,,,,,
,PERFIL T ALUMINIO LAMINADO ,,,,METRO,"R$ 31,63",,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,MANTAS,,,,,,,BIANCOGRES,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
